Date,Confirmed,Recovered,Deaths
2020-05-22,124794,51824,3726
2020-05-23,131423,54385,3868
2020-05-24,138536,57692,4024
2020-05-25,144950,60706,4172
2020-05-26,150793,64277,4344
2020-05-27,158086,67749,4534
2020-05-28,165386,70920,4711
2020-05-29,173491,82627,4980
2020-05-30,181827,86936,5185
2020-05-31,190609,91852,5408
2020-06-01,198370,95754,5608
2020-06-02,207191,100285,5829
2020-06-03,216824,104071,6088
2020-06-04,226713,108450,6363
2020-06-05,236184,113233,6649
2020-06-06,246622,118695,6946
2020-06-07,257486,123848,7207
2020-06-08,265928,129095,7473
2020-06-09,276146,134670,7750
2020-06-10,286605,135206,8102
2020-06-11,297535,147195,8498
2020-06-12,308993,154330,8884
2020-06-13,320922,162379,9195
2020-06-14,332424,169798,9520
2020-06-15,343091,180013,9900
2020-06-16,354065,186935,11903
2020-06-17,366946,194325,12237
2020-06-18,380532,204711,12573
2020-06-19,395048,213831,12948
2020-06-20,410451,227728,13254
2020-06-21,425282,237196,13699
2020-06-22,440215,248190,14011
2020-06-23,456183,258685,14476
2020-06-24,473105,271697,14894
2020-06-25,490401,285637,15301
2020-06-26,508953,295881,15685
2020-06-27,528859,309713,16095
2020-06-28,548318,321723,16475
2020-06-29,566840,334822,16893
2020-06-30,585481,347912,17400
2020-07-01,604641,359860,17834
2020-07-02,625544,379892,18213
2020-07-03,648315,394227,18655
2020-07-04,673165,409083,19268
2020-07-05,697413,424433,19693
2020-07-06,719664,439934,20159
2020-07-07,742417,456831,20642
2020-07-08,767296,476378,21129
2020-07-09,793802,495513,21604
2020-07-10,820916,515386,22123
2020-07-11,849522,534618,22673
2020-07-12,878254,553471,23174
2020-07-13,906752,571460,23727
2020-07-14,936181,592032,24309
2020-07-15,968857,612768,24914
2020-07-16,1003832,635757,25602
2020-07-17,1039084,653751,26273
2020-07-18,1077781,677423,26816
2020-07-19,1118206,700087,27497
2020-07-20,1155338,724578,28082
2020-07-21,1193078,753050,28732
2020-07-22,1238798,782607,29861
2020-07-23,1288108,817209,30601
2020-07-24,1337024,849432,31358
2020-07-25,1385635,885573,32060
2020-07-26,1435616,917568,32771
2020-07-27,1480073,951166,33408
2020-07-28,1531669,988029,34193
2020-07-29,1581963,1019735,34955
2020-07-30,1634746,1055348,35718
2020-07-31,1695988,1094374,36511
2020-08-01,1750723,1145629,37364
2020-08-02,1803695,1186203,38135
2020-08-03,1855745,1230509,38938
2020-08-04,1908254,1282215,39795
2020-08-05,1964536,1328336,40699
2020-08-06,2027074,1378105,41585
2020-08-07,2088611,1427005,42518
2020-08-08,2153010,1480884,43379
2020-08-09,2215074,1535743,44386
2020-08-10,2268675,1583489,45257
2020-08-11,2329638,1639599,46091
2020-08-12,2396637,1695982,47033
2020-08-13,2461190,1751555,48040
2020-08-14,2525922,1808936,49036
2020-08-15,2589952,1862258,49980
2020-08-16,2647663,1919842,50921
2020-08-17,2702681,1977671,51797
2020-08-18,2767253,2037816,52888
2020-08-19,2836925,2096664,53866
2020-08-20,2905825,2158946,54849
2020-08-21,2975701,2222577,55794
2020-08-22,3044940,2280566,56706
2020-08-23,3106348,2338035,57542
2020-08-24,3167323,2404585,58390
2020-08-25,3224547,2458339,59357
2020-08-26,3310234,2523771,60472
2020-08-27,3387500,2583948,61529
2020-08-28,3463972,2648998,62550
2020-08-29,3542733,2713933,63498
2020-08-30,3621245,2774801,64469
2020-08-31,3691166,2839882,65288
2020-09-01,3769523,2901908,66333
2020-09-02,3853406,2970492,67376
2020-09-03,3936747,3037151,68472
2020-09-04,4023179,3107223,69561
2020-09-05,4113811,3180865,70626
2020-09-06,4204613,3250429,71642
2020-09-07,4280422,3323950,72775
2020-09-08,4370128,3398844,73890
2020-09-09,4465863,3471783,75062
2020-09-10,4562414,3542663,76271
2020-09-11,4659984,3624196,77472
2020-09-12,4754356,3702595,78586
2020-09-13,4846427,3780107,79722
2020-09-14,4930236,3859399,80776
2020-09-15,5020359,3942360,82066
2020-09-16,5118253,4025079,83198
2020-09-17,5214677,4112551,84372
2020-09-18,5308014,4208431,85619
2020-09-19,5400619,4303043,86752
2020-09-20,5487580,4396399,87882
2020-09-21,5562663,4497867,88935
2020-09-22,5646010,4587613,90020
2020-09-23,5732518,4674987,91149
2020-09-24,5818570,4756164,92290
2020-09-25,5903932,4849584,93379
2020-09-26,5992532,4941627,94503
2020-09-27,6074702,5016520,95542
2020-09-28,6145291,5101397,96318
2020-09-29,6225763,5187825,97497
2020-09-30,6312584,5273201,98678
2020-10-01,6394068,5352078,99773
2020-10-02,6473544,5427706,100842
2020-10-03,6549373,5509966,101782
2020-10-04,6623815,5586703,102685
2020-10-05,6685082,5662490,103569
2020-10-06,6757131,5744693,104555
2020-10-07,6835655,5827704,105526
2020-10-08,6906151,5906069,106490
2020-10-09,6979423,5988822,107416
2020-10-10,7053806,6077976,108334
2020-10-11,7120538,6149535,109150
2020-10-12,7175880,6227295,109856
2020-10-13,7239389,6301927,110586
2020-10-14,7307097,6383441,111266
2020-10-15,7370468,6453779,112161
2020-10-16,7432680,6524595,112998
2020-10-17,7494551,6597209,114031
2020-10-18,7550273,6663608,114610
2020-10-19,7597063,6733328,115197
2020-10-20,7651107,6795103,115914
2020-10-21,7706946,6874518,116616
2020-10-22,7761312,6948497,117306
2020-10-23,7814682,7016046,117956
2020-10-24,7864811,7078123,118534
2020-10-25,7909959,7137228,119014
2020-10-26,7946429,7201070,119502
2020-10-27,7990322,7259509,120010
2020-10-28,8040203,7315989,120527
2020-10-29,8088851,7373375,121090
2020-10-30,8137119,7432829,121641
2020-10-31,8184082,7491513,122111
2020-11-01,8229313,7544798,122607
2020-11-02,8267623,7603121,123097
2020-11-03,8313876,7656478,123611
2020-11-04,8364086,7711809,124315
2020-11-05,8411724,7765966,124985
2020-11-06,8462080,7819886,125562
2020-11-07,8507754,7868968,126121
2020-11-08,8553657,7917373,126611
2020-11-09,8591730,7959406,127059
2020-11-10,8636011,8013783,127571
2020-11-11,8683916,8066501,128121
2020-11-12,8728795,8115580,128668
2020-11-13,8773479,8163572,129188
2020-11-14,8814579,8205728,129635
2020-11-15,8845127,8249579,130070
2020-11-16,8874290,8290370,130519
2020-11-17,8912907,8335109,130993
2020-11-18,8958483,8383602,131578
2020-11-19,9004365,8428409,132162
2020-11-20,9050597,8478124,132726
2020-11-21,9095806,8521617,133227
2020-11-22,9139865,8562641,133738
2020-11-23,9177840,8604955,134218
2020-11-24,9222216,8642771,134699
2020-11-25,9266705,8679138,135223
2020-11-26,9309787,8718517,135715
2020-11-27,9351109,8759969,136200
2020-11-28,9392919,8802267,136696
2020-11-29,9431691,8847600,137139
2020-11-30,9462809,8889585,137621
